Time,Nb_Sat,Latitude,Longitude,Altitude,Temp_Int,Temp_BME,Temp_Ext,Pression,Humidité,Dose_uSvh,Cpm,U_batt,I_batt,Charge_batt
12:30:55,10,47.950642,0.241073,14238.5,16.8,12.5,1.0,148.0,5.4,3.0,161.6,11.5,-330.4,1256.7
12:31:05,9,47.950191,0.242340,14280.2,16.6,12.4,1.0,146.9,5.4,2.7,143.0,11.5,-332.0,1255.7
12:31:15,10,47.949764,0.243553,14326.3,16.5,12.2,1.0,145.8,5.4,2.5,134.2,11.5,-327.2,1254.8
12:31:55,9,47.947968,0.248693,14517.3,16.0,11.7,1.0,141.4,5.5,3.0,156.7,11.5,-328.5,1251.0
12:32:05,10,47.947567,0.249807,14577.2,16.0,11.6,1.0,140.2,5.5,3.0,157.4,11.5,-224.7,1250.2
12:32:15,10,47.947044,0.251238,14656.7,15.9,11.0,1.0,138.4,5.5,2.8,150.4,11.6,-240.3,1249.5
12:32:25,10,47.946350,0.252005,14733.2,15.8,11.4,1.0,137.0,5.5,2.7,144.4,11.6,-225.4,1248.9
12:32:35,10,47.945793,0.252840,14775.9,15.6,11.2,1.0,135.9,5.5,2.6,140.2,11.5,-289.0,1248.2
12:32:45,10,47.945431,0.253730,14818.2,15.5,11.1,1.0,135.0,5.4,2.6,137.4,11.5,-230.7,1247.5
12:32:55,11,47.945137,0.254672,14867.3,15.4,11.0,1.0,134.1,5.5,2.5,131.8,11.6,-224.2,1246.9
12:33:05,11,47.944847,0.255563,14919.9,15.2,10.9,1.0,132.9,5.5,2.4,129.4,11.5,-229.7,1246.3
12:33:15,11,47.944733,0.256612,14976.4,15.1,10.2,1.0,131.5,5.6,2.4,127.9,11.5,-229.5,1245.6
12:33:25,11,47.944649,0.257768,15035.9,15.0,10.6,1.0,130.5,5.5,2.4,124.8,11.6,-226.7,1245.0
12:33:35,10,47.944702,0.258820,15100.7,14.9,10.5,1.0,129.0,5.5,2.3,122.7,11.5,-368.8,1244.3
12:33:35,10,47.944702,0.258820,15100.7,14.8,10.5,-1023.0,128.9,5.5,2.3,121.9,11.5,-246.8,1244.2
12:33:45,11,47.944637,0.260003,15168.8,14.8,10.4,1.0,127.7,5.5,2.3,120.3,11.5,-244.5,1243.6
12:33:55,11,47.944527,0.261480,15231.1,14.6,10.3,1.0,126.5,5.5,2.3,121.5,11.6,-223.0,1243.0
12:34:05,11,47.944382,0.262902,15299.3,14.5,10.2,1.0,125.1,5.4,2.4,125.0,11.5,-224.3,1242.2
12:34:15,11,47.944118,0.264212,15368.1,14.4,9.5,1.0,123.6,5.5,2.3,121.1,11.5,-226.5,1241.6
12:34:25,11,47.943909,0.265793,15422.0,14.2,10.0,1.0,122.7,5.4,2.2,118.8,11.5,-227.9,1241.0
12:34:35,9,47.943535,0.267368,15468.8,14.2,9.8,1.0,121.7,5.4,2.2,117.2,11.5,-250.5,1240.3
12:34:45,11,47.943371,0.268782,15516.1,14.1,9.7,1.0,120.8,5.4,2.2,116.8,11.5,-227.3,1239.6
12:34:55,11,47.943207,0.270158,15569.6,14.0,9.6,1.0,119.9,5.5,2.2,118.3,11.5,-230.6,1238.9
12:36:15,8,47.941689,0.281315,15995.5,13.0,8.3,1.0,111.7,5.8,2.4,125.3,11.5,-322.7,1231.4
12:36:45,8,47.940250,0.285428,16176.4,12.8,8.5,1.0,108.6,5.7,2.4,125.7,11.5,-327.7,1228.6
12:37:05,11,47.939266,0.287235,16299.4,12.6,8.3,1.0,106.8,5.7,2.4,126.1,11.5,-222.7,1226.9
12:37:15,11,47.938778,0.288143,16352.1,12.5,8.2,1.0,106.0,5.7,2.4,124.9,11.5,-226.8,1226.3
12:37:25,11,47.938286,0.288955,16397.5,12.4,8.1,1.0,105.2,5.7,2.3,124.0,11.5,-226.9,1225.7
12:37:45,11,47.937855,0.290353,16500.0,12.2,7.9,1.0,103.6,5.8,2.3,121.8,11.5,-222.6,1224.3
12:37:55,11,47.937744,0.290938,16547.9,12.1,7.8,1.0,102.8,5.8,2.3,121.5,11.5,-227.0,1223.7
12:38:05,11,47.937542,0.291642,16597.2,12.0,7.7,1.0,101.9,5.8,2.3,122.9,11.5,-217.9,1222.9
12:38:15,11,47.937061,0.292475,16646.7,11.9,7.6,1.0,101.1,5.8,2.3,122.0,11.5,-219.7,1222.3
12:38:25,11,47.936699,0.293463,16699.0,11.9,7.5,1.0,100.4,5.9,2.3,121.4,11.5,-243.8,1221.7
