Date time,Température_BME,Température_LM,Température_MPU,Pression,Humidité,Accélération Z
2024-05-31 10:28:00,23.20,23.00,23.59,1012.87,47.40,1.13
2024-05-31 10:28:10,23.23,23.00,22.98,1012.84,47.63,1.14
2024-05-31 12:20:10,23.25,23.12,23.97,1012.81,48.85,1.14
2024-05-31 12:20:20,23.26,23.12,23.97,1012.85,47.49,1.14
2024-05-31 12:20:30,23.30,23.25,24.11,1012.88,47.61,1.14
2024-05-31 12:20:40,23.33,23.38,24.20,1012.88,47.95,1.13
2024-05-31 12:20:50,23.37,23.50,24.25,1012.87,47.97,1.15
2024-05-31 12:21:00,23.40,23.62,24.29,1012.92,47.95,1.13
2024-05-31 12:21:10,23.46,23.62,24.34,1012.95,47.89,1.15
2024-05-31 12:21:20,23.48,23.75,25.19,1012.92,47.97,1.13
2024-05-31 12:21:30,23.53,23.88,23.78,1012.99,47.88,1.13
2024-05-31 12:21:40,23.58,24.00,24.48,1012.95,47.58,1.13
2024-05-31 12:21:50,23.63,24.12,24.58,1012.98,47.21,1.14
2024-05-31 12:22:00,23.68,24.25,24.62,1012.96,47.04,1.13
2024-05-31 12:22:10,23.74,24.38,24.72,1012.95,47.51,1.13
2024-05-31 12:22:20,23.80,24.50,24.81,1013.00,47.38,1.14
2024-05-31 12:22:30,23.86,24.62,24.77,1012.98,46.96,1.14
2024-05-31 12:22:40,23.93,24.75,24.86,1012.93,47.71,1.14
2024-05-31 12:22:50,23.99,24.88,24.95,1012.93,46.66,1.13
2024-05-31 12:23:00,24.06,25.00,24.91,1012.94,46.89,1.13
2024-05-31 12:23:10,24.12,25.12,25.14,1012.91,46.78,1.13
2024-05-31 12:23:20,24.20,25.25,25.09,1012.91,47.07,1.13
2024-05-31 12:23:30,24.26,25.38,25.14,1012.95,47.04,1.13
2024-05-31 12:23:40,24.33,25.50,25.33,1012.91,46.35,1.11
2024-05-31 12:23:50,24.42,25.62,25.28,1012.92,46.19,1.13
2024-05-31 12:24:00,24.49,25.75,25.33,1012.93,46.71,1.13
2024-05-31 12:24:10,24.57,25.88,25.33,1012.94,45.80,1.13
2024-05-31 12:24:20,24.63,26.00,25.57,1012.90,45.66,1.11
2024-05-31 12:24:30,24.70,26.12,25.47,1012.92,45.52,1.13
2024-05-31 12:24:40,24.79,26.25,25.61,1012.90,45.06,1.13
2024-05-31 12:24:50,24.86,26.25,25.71,1012.91,45.54,1.14
2024-05-31 12:25:00,24.93,26.38,25.80,1012.89,45.11,1.12
2024-05-31 12:25:10,25.00,26.50,25.89,1012.90,45.08,1.13
2024-05-31 12:25:20,25.09,26.62,25.94,1012.84,44.92,1.13
2024-05-31 12:25:30,25.17,26.75,25.24,1012.91,44.53,1.13
2024-05-31 12:25:40,25.24,27.00,26.04,1012.88,44.26,1.13
2024-05-31 12:25:50,25.32,27.25,26.13,1012.92,44.64,1.11
2024-05-31 12:26:00,25.42,27.50,26.22,1013.00,44.54,1.12
2024-05-31 12:26:10,25.51,27.75,26.37,1013.03,44.44,1.13
2024-05-31 12:26:20,25.61,28.12,26.37,1012.97,43.81,1.13
2024-05-31 12:26:30,25.73,28.38,26.51,1012.96,43.24,1.13
2024-05-31 12:26:40,25.84,28.62,26.60,1012.96,44.60,1.13
2024-05-31 12:26:50,25.96,28.88,26.60,1013.02,44.62,1.13
